Level1_Name,Level1_Desc,Level2_Name,Level2_Desc,Level3_Name,Level3_Desc,Level4_Name,Level4_Desc,Level5_Name,Level5_Desc,Assign_To,Timeline,Weight,Tower_Tagging,Leaf_Node_Progress_Type
,,,,Annunciator card / module installation,,,,,,,,,No,Binary
,,,,Indication wiring,,,,,,,,,No,Binary
,,RTU / Gateway,,,,,,,,,,,No,
,,,,RTU / gateway rack mounting,,,,,,,,,No,Binary
,,,,I/O card installation,,,,,,,,,No,Binary
,,,,Communication wiring (serial / Ethernet),,,,,,,,,No,Binary
,,SCADA Server & HMI,,,,,,,,,,,No,
,,,,Server rack mounting,,,,,,,,,No,Binary
,,,,Software installation,,,,,,,,,No,Binary
,,,,HMI screen installation & wiring,,,,,,,,,No,Binary
,,Telecom Equipment,,,,,,,,,,,No,
,,,,Telecom rack installation,,,,,,,,,No,Binary
,,,,OFC equipment (SDH / MPLS) installation,,,,,,,,,No,Binary
,,,,Patch panel installation,,,,,,,,,No,Binary
,,,,Telecom wiring & patching,,,,,,,,,No,Binary
,,SAS / IEC 61850 System (if applicable),,,,,,,,,,,No,
,,,,Network switch installation & LAN setup,,,,,,,,,No,Binary
,,,,IED IP mapping & configuration upload,,,,,,,,,No,Binary
,,,,FO patch cord connections,,,,,,,,,No,Binary
,,,,SAS server & HMI installation,,,,,,,,,No,Binary
Auxiliary System Installation,,,,,,,,,,,,,No,
,,Station Service Transformer,,,,,,,,,,,No,
,,,,SST / substation DT erection,,,,,,,,,No,Binary
,,,,HV & LV terminations,,,,,,,,,No,Binary
,,,,Earthing connections,,,,,,,,,No,Binary
,,AC Distribution,,,,,,,,,,,No,
,,,,ACDB installation & wiring,,,,,,,,,No,Binary
,,,,Station AC supply cabling,,,,,,,,,No,Binary
,,,,LT cable connections to loads,,,,,,,,,No,Binary
,,DC Distribution,,,,,,,,,,,No,
,,,,DCDB installation & wiring,,,,,,,,,No,Binary
,,,,DC loop wiring,,,,,,,,,No,Binary
,,,,Fuse / MCB installation,,,,,,,,,No,Binary
,,Battery Bank & Charger,,,,,,,,,,,No,
,,,,Battery rack installation,,,,,,,,,No,Binary
,,,,Battery cell placement & interconnection,,,,,,,,,No,Binary
,,,,Battery charger installation,,,,,,,,,No,Binary
,,,,Terminal connections,,,,,,,,,No,Binary
,,,,Electrolyte filling (if VRLA / flooded),,,,,,,,,No,Binary
,,UPS System,,,,,,,,,,,No,
,,,,UPS installation & wiring,,,,,,,,,No,Binary
,,,,Bypass switch connection,,,,,,,,,No,Binary
,,Lighting System,,,,,,,,,,,No,
,,,,Yard lighting mast & floodlight installation,,,,,,,,,No,Binary
,,,,Control room / building lighting,,,,,,,,,No,Binary
,,,,Emergency lighting,,,,,,,,,No,Binary
,,,,Lighting distribution board (LDB) installation,,,,,,,,,No,Binary
,,Fire Protection & Detection,,,,,,,,,,,No,
,,,,Fire detection sensor installation,,,,,,,,,No,Binary
,,,,Fire alarm panel installation,,,,,,,,,No,Binary
,,,,Fire suppression system (FM200 / CO2 / sprinkler),,,,,,,,,No,Binary
,,,,Fire hydrant & hose reel,,,,,,,,,No,Binary
,,,,Fire fighting pipe work,,,,,,,,,No,Binary
,,HVAC & Ventilation,,,,,,,,,,,No,
,,,,AC unit installation (control room),,,,,,,,,No,Binary
,,,,Ventilation fan & ductwork,,,,,,,,,No,Binary
,,,,Thermostat & controls,,,,,,,,,No,Binary
,,Electronic Security,,,,,,,,,,,No,
,,,,CCTV camera installation,,,,,,,,,No,Binary
,,,,DVR / NVR installation,,,,,,,,,No,Binary
,,,,Access control system,,,,,,,,,No,Binary
,,,,Intrusion alarm system,,,,,,,,,No,Binary
Cable Works,,,,,,,,,,,,,No,
,,Cable Tray & Support Installation,,,,,,,,,,,No,
,,,,Cable tray erection,,,,,,,,,No,Binary
,,,,Cable tray support brackets,,,,,,,,,No,Binary
,,,,Conduit / rigid pipe installation,,,,,,,,,No,Binary
,,Control Cable Laying,,,,,,,,,,,No,
,,,,Cable route marking,,,,,,,,,No,Binary
,,,,Control cable pulling & laying,,,,,,,,,No,Binary
,,,,Cable identification & numbering,,,,,,,,,No,Binary
,,Power Cable Laying,,,,,,,,,,,No,
,,,,Power cable pulling & laying,,,,,,,,,No,Binary
,,,,Cable identification & numbering,,,,,,,,,No,Binary
,,Optical Fiber Cable Laying,,,,,,,,,,,No,
,,,,FO cable pulling & laying,,,,,,,,,No,Binary
,,,,FO splicing & termination,,,,,,,,,No,Binary
,,,,OTDR testing,,,,,,,,,No,Binary
,,Cable Dressing & Tagging,,,,,,,,,,,No,
,,,,Cable dressing & cleating,,,,,,,,,No,Binary
,,,,Ferruling & tagging,,,,,,,,,No,Binary
,,,,Cable schedule preparation,,,,,,,,,No,Binary
,,Glanding & Termination,,,,,,,,,,,No,
,,,,Cable glanding,,,,,,,,,No,Binary
,,,,Cable termination at panels,,,,,,,,,No,Binary
,,,,Cable termination at field equipment,,,,,,,,,No,Binary
,,,,HV / MV cable jointing (if applicable),,,,,,,,,No,Binary
,,Panel & Marshalling Wiring,,,,,,,,,,,No,
,,,,Marshalling kiosk wiring,,,,,,,,,No,Binary
,,,,Panel internal wiring,,,,,,,,,No,Binary
,,,,Terminal block connections,,,,,,,,,No,Binary
,,,,Wiring continuity check,,,,,,,,,No,Binary
Protection Control & SCADA,,,,,,,,,,,,,No,
,,Relay Setting & Configuration,,,,,,,,,,,No,
,,,,Relay setting calculation,,,,,,,,,No,Binary
,,,,Setting upload to relay / IED,,,,,,,,,No,Binary
,,,,Setting verification & sign-off,,,,,,,,,No,Binary
,,Logic & Scheme Configuration,,,,,,,,,,,No,
,,,,Protection logic programming,,,,,,,,,No,Binary
,,,,Auto-reclose / AVR logic,,,,,,,,,No,Binary
,,,,Alarm & event configuration,,,,,,,,,No,Binary
,,Interlocking Checks,,,,,,,,,,,No,
,,,,Mechanical interlock verification,,,,,,,,,No,Binary
,,,,Electrical interlock testing,,,,,,,,,No,Binary
,,,,Scheme interlock testing,,,,,,,,,No,Binary
,,,,Emergency stop testing,,,,,,,,,No,Binary
,,RTU & SCADA Configuration,,,,,,,,,,,No,
,,,,RTU point mapping & configuration,,,,,,,,,No,Binary
,,,,SCADA database build,,,,,,,,,No,Binary
,,,,Signal list verification,,,,,,,,,No,Binary
,,,,Point-to-point signal testing,,,,,,,,,No,Binary
,,,,End-to-end communication test,,,,,,,,,No,Binary
,,,,Alarm & event testing,,,,,,,,,No,Binary
,,,,Historical data logging check,,,,,,,,,No,Binary
,,IEC 61850 & SAS Configuration (if applicable),,,,,,,,,,,No,
,,,,IED GOOSE configuration & binding,,,,,,,,,No,Binary
,,,,SAS network configuration,,,,,,,,,No,Binary
,,,,Time synchronization (GPS / PTP) setup,,,,,,,,,No,Binary
,,,,MMS communication test,,,,,,,,,No,Binary
,,,,SAS FAT verification at site,,,,,,,,,No,Binary
,,Telecom Integration,,,,,,,,,,,No,
,,,,Telecom system integration,,,,,,,,,No,Binary
,,,,Voice communication setup,,,,,,,,,No,Binary
,,,,PLCC channel testing (132kV+),,,,,,,,,No,Binary
,,,,Teleprotection testing (132kV+),,,,,,,,,No,Binary
,,Cybersecurity & OT Hardening,,,,,,,,,,,No,
,,,,OT network segmentation & VLAN config,,,,,,,,,No,Binary
,,,,Firewall rules configuration,,,,,,,,,No,Binary
,,,,User access management & passwords,,,,,,,,,No,Binary
,,,,OT security audit & sign-off,,,,,,,,,No,Binary
Testing & Commissioning,,,,,,,,,,,,,No,
,,Transformer Pre-Commissioning Tests,,,,,,,,,,,No,
,,,,Turns ratio test,,,,,,,,,No,Binary
,,,,Insulation resistance (IR) test,,,,,,,,,No,Binary
,,,,Oil sampling & dissolved gas analysis (DGA),,,,,,,,,No,Binary
,,,,Tan-delta test,,,,,,,,,No,Binary
,,,,Magnetizing current test,,,,,,,,,No,Binary
,,,,DC resistance test,,,,,,,,,No,Binary
,,,,Buchholz & PRD functional check,,,,,,,,,No,Binary
,,Circuit Breaker Tests,,,,,,,,,,,No,
,,,,Contact resistance test,,,,,,,,,No,Binary
,,,,Timing test (open / close / O-C),,,,,,,,,No,Binary
,,,,Insulation resistance test,,,,,,,,,No,Binary
,,,,SF6 pressure & quality check,,,,,,,,,No,Binary
,,,,Mechanism functional test,,,,,,,,,No,Binary
,,CT Tests,,,,,,,,,,,No,
,,,,Ratio & polarity test,,,,,,,,,No,Binary
,,,,Magnetization / knee point curve,,,,,,,,,No,Binary
,,,,Insulation resistance test,,,,,,,,,No,Binary
,,,,Burden measurement,,,,,,,,,No,Binary
,,CVT / PT Tests,,,,,,,,,,,No,
,,,,Ratio & polarity test,,,,,,,,,No,Binary
,,,,Insulation resistance test,,,,,,,,,No,Binary
,,,,Tan-delta test,,,,,,,,,No,Binary
,,Isolator / Disconnector Tests,,,,,,,,,,,No,
,,,,Contact resistance test,,,,,,,,,No,Binary
,,,,Alignment & operation check,,,,,,,,,No,Binary
,,,,Motor mechanism functional test,,,,,,,,,No,Binary
,,GIS Tests (GIS / HYB),,,,,,,,,,,No,
,,,,SF6 gas quality & purity test,,,,,,,,,No,Binary
,,,,SF6 leak test (ppm / year),,,,,,,,,No,Binary
,,,,HV withstand / partial discharge test,,,,,,,,,No,Binary
,,Cable Tests,,,,,,,,,,,No,
,,,,Insulation resistance (IR) test,,,,,,,,,No,Binary
,,,,Hi-pot / VLF withstand test,,,,,,,,,No,Binary
,,,,Continuity test,,,,,,,,,No,Binary
,,,,Sheath test,,,,,,,,,No,Binary
,,Battery & Charger Tests,,,,,,,,,,,No,
,,,,Battery capacity discharge test,,,,,,,,,No,Binary
,,,,Charger output & regulation test,,,,,,,,,No,Binary
,,,,DC system endurance test,,,,,,,,,No,Binary
,,Protection Secondary Injection Tests,,,,,,,,,,,No,
,,,,Overcurrent & earth fault relay testing,,,,,,,,,No,Binary
,,,,Differential relay testing,,,,,,,,,No,Binary
,,,,Distance relay testing,,,,,,,,,No,Binary
,,,,Busbar protection testing,,,,,,,,,No,Binary
,,,,Auto-reclose relay testing,,,,,,,,,No,Binary
,,,,Trip circuit supervision testing,,,,,,,,,No,Binary
,,,,Lockout relay testing,,,,,,,,,No,Binary
,,Metering Verification,,,,,,,,,,,No,
,,,,Meter accuracy check,,,,,,,,,No,Binary
,,,,CT / PT ratio verification,,,,,,,,,No,Binary
,,,,Energy meter testing & sealing,,,,,,,,,No,Binary
,,Auxiliary & Ancillary Systems Testing,,,,,,,,,,,No,
,,,,AC / DC auxiliary supply verification,,,,,,,,,No,Binary
,,,,Lighting & small power test,,,,,,,,,No,Binary
,,,,HVAC functional test,,,,,,,,,No,Binary
,,,,Fire detection & alarm test,,,,,,,,,No,Binary
,,,,Fire suppression system test,,,,,,,,,No,Binary
,,,,CCTV & access control test,,,,,,,,,No,Binary
,,,,UPS changeover test,,,,,,,,,No,Binary
,,System Integration Testing,,,,,,,,,,,No,
,,,,Bay functional test (local & remote),,,,,,,,,No,Binary
,,,,Inter-bay interlock testing,,,,,,,,,No,Binary
,,,,SCADA point-to-point & end-to-end test,,,,,,,,,No,Binary
,,,,IEC 61850 GOOSE message test,,,,,,,,,No,Binary
,,,,Teleprotection end-to-end test (132kV+),,,,,,,,,No,Binary
,,,,Control room simulation test,,,,,,,,,No,Binary
,,Pre-Commissioning Review,,,,,,,,,,,No,
,,,,Protection coordination final check,,,,,,,,,No,Binary
,,,,Trial run (no-load operation),,,,,,,,,No,Binary
,,,,Client / utility inspection & punch list,,,,,,,,,No,Binary
,,,,Punch list closure,,,,,,,,,No,Binary
Energization & Handover,,,,,,,,,,,,,No,
,,Outage Coordination & Safety,,,,,,,,,,,No,
,,,,Outage request & SLDC / DISCOM coordination,,,,,,,,,No,Binary
,,,,Safety clearance & permit to work (PTW),,,,,,,,,No,Binary
,,,,Isolation & earthing verification,,,,,,,,,No,Binary
,,,,Safety audit before energization,,,,,,,,,No,Binary
,,Energization,,,,,,,,,,,No,
,,,,HV line / bus charging,,,,,,,,,No,Binary
,,,,Transformer energization (no-load),,,,,,,,,No,Binary
,,,,Bus voltage & phase verification,,,,,,,,,No,Binary
,,,,Feeder energization & load transfer,,,,,,,,,No,Binary
,,,,Reliability run (72-hour continuous),,,,,,,,,No,Binary
,,Post-Energization Checks,,,,,,,,,,,No,
,,,,Protection stability check under load,,,,,,,,,No,Binary
,,,,Metering verification under load,,,,,,,,,No,Binary
,,,,SCADA readings verification under load,,,,,,,,,No,Binary
,,Documentation & Handover,,,,,,,,,,,No,
,,,,As-built drawings final submission,,,,,,,,,No,Binary
,,,,Test reports compilation & submission,,,,,,,,,No,Binary
,,,,O&M manuals handover,,,,,,,,,No,Binary
,,,,Spare parts list & handover,,,,,,,,,No,Binary
,,,,Warranty documents compilation,,,,,,,,,No,Binary
,,Training,,,,,,,,,,,No,
,,,,Operations training to utility / client staff,,,,,,,,,No,Binary
,,,,Maintenance training,,,,,,,,,No,Binary
,,,,Emergency response training,,,,,,,,,No,Binary
,,Acceptance,,,,,,,,,,,No,
,,,,PAC (Provisional Acceptance Certificate),,,,,,,,,No,Binary
,,,,Site reinstatement / rehabilitation,,,,,,,,,No,Binary
,,,,Defects liability period monitoring,,,,,,,,,No,Binary
,,,,FAC (Final Acceptance Certificate),,,,,,,,,No,Binary
HSE & Quality,,,,,,,,,,,,,No,
,,Health & Safety Management,,,,,,,,,,,No,
,,,,Safety plan preparation & approval,,,,,,,,,No,Binary
,,,,Toolbox talks (daily),,,,,,,,,No,Binary
,,,,PPE compliance monitoring,,,,,,,,,No,Binary
,,,,Permit to work (PTW) system,,,,,,,,,No,Binary
,,,,Safety audits & inspections,,,,,,,,,No,Binary
,,,,Incident reporting & investigation,,,,,,,,,No,Binary
,,,,Emergency response drill,,,,,,,,,No,Binary
,,,,Working at height safety,,,,,,,,,No,Binary
,,,,Electrical safety (LV / HV awareness),,,,,,,,,No,Binary
,,Quality Management,,,,,,,,,,,No,
,,,,ITP (Inspection & Test Plan) preparation & approval,,,,,,,,,No,Binary
,,,,Stage-wise quality checks & sign-off,,,,,,,,,No,Binary
,,,,NCR (Non-Conformance Report) issuance & closure,,,,,,,,,No,Binary
,,,,Calibration records management,,,,,,,,,No,Binary
,,,,Third-party inspection coordination,,,,,,,,,No,Binary
,,,,Material test certificates (MTC) verification,,,,,,,,,No,Binary
,,Environmental Controls,,,,,,,,,,,No,
,,,,Waste management plan,,,,,,,,,No,Binary
,,,,Oil spill prevention & containment,,,,,,,,,No,Binary
,,,,Noise & dust control,,,,,,,,,No,Binary
,,,,Hazardous material handling,,,,,,,,,No,Binary
,,,,Environmental monitoring reports,,,,,,,,,No,Binary
